City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
289,Sao Felix Do Xingu,BR,86.09,broken clouds,-6.6447,-51.995,Rio Xingu Camping
292,Lac-Megantic,CA,70.56,overcast clouds,45.5834,-70.8823,Motel Le Quiet
293,Saint-Joseph,RE,68.38,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
294,Makakilo City,US,77.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
295,Illapel,CL,62.51,light rain,-31.6308,-71.1653,Hotel Londres
296,Ambulu,ID,75.09,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
297,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
298,Kapuskasing,CA,66.29,broken clouds,49.4169,-82.4331,Park Inn Motel
299,Grindavik,IS,48.67,overcast clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
300,Vila Velha,BR,91.35,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
301,Kushiro,JP,46.85,overcast clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
302,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
303,Nishihara,JP,76.28,scattered clouds,26.1842,127.7558,Minshuku Agaihama
304,Fallon,US,80.46,broken clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
306,Kibre Mengist,ET,56.5,broken clouds,5.8833,38.9833,kal beauty salone adola
307,Oranjemund,,58.14,clear sky,-28.55,16.4333,The Fisherman's Cove
308,Jumla,NP,54.81,clear sky,29.2747,82.1838,Royal Garden Hotel
309,Salalah,OM,81.37,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
311,Tarauaca,BR,87.94,overcast clouds,-8.1614,-70.7656,Flat Temporada
312,Jalu,LY,88.68,clear sky,29.0331,21.5482,صاحبة الفخامة
313,Nelson Bay,AU,43.09,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
314,Sur,OM,84.85,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
315,Kolaras,IN,93.25,overcast clouds,25.2333,77.6,Shiv Shakti Garden (Gayatri Colony)
316,Muros,ES,69.1,clear sky,42.7762,-9.0603,Apartment Av. Castelao
317,Waingapu,ID,76.32,few clouds,-9.6567,120.2641,Pondok Wisata Elim
318,Luena,AO,55.18,clear sky,-11.7833,19.9167,Hotel Kandamba
319,Coihaique,CL,29.01,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
320,Tiarei,PF,75.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
321,Atasu,KZ,58.03,clear sky,48.6814,71.6433,Dostyk
322,Ornskoldsvik,SE,53.62,light rain,63.2909,18.7153,ファーストホテル スタット
323,Bitung,ID,74.25,overcast clouds,1.4451,125.1824,K2 Lembeh
324,Naze,JP,70.72,overcast clouds,28.3667,129.4833,Shishime Hotel
325,Clearlake,US,87.35,overcast clouds,38.9582,-122.6264,Americas Best Value Inn & Suites Clearlake Wine Country
327,Uslar,DE,63.84,broken clouds,51.6569,9.635,Romantisches Hotel Menzhausen
328,Qaqortoq,GL,44.11,clear sky,60.7167,-46.0333,Siniffik Inn
329,Marawi,PH,68.22,overcast clouds,7.9986,124.2928,Derogongan Residence
330,Palmer,US,76.55,overcast clouds,42.1584,-72.3287,Wedgewood Motel
331,Pula,HR,73.96,clear sky,44.8683,13.8481,Park Plaza Histria Pula
332,Coolum Beach,AU,54.23,clear sky,-26.5333,153.1,Coolum Beach Resort
333,Ponta Do Sol,PT,71.71,broken clouds,32.6667,-17.1,Hotel do Campo
334,Port Hedland,AU,59.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
335,Palaikastron,GR,72.05,clear sky,35.2,26.25,Marina Village
337,Urumqi,CN,58.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
338,Erdenet,MN,50.67,overcast clouds,49.0333,104.0833,Erdenet hotel
339,Ixtapa,MX,88.99,clear sky,20.7,-105.2,hotel la terminal
340,Gaimersheim,DE,69.71,broken clouds,48.807,11.368,Der Heidehof
341,Victoria,HK,83.32,broken clouds,22.2855,114.1577,Mini Central
342,Fuerte Olimpo,PY,70.12,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
343,Sibolga,ID,75.25,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
344,Guerrero Negro,MX,71.15,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
345,Hami,CN,68.56,few clouds,42.8,93.45,Laoyutang Resort
